Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature
2000,1,3.7815887169756478e-06,3.620864496042486e-05,276.8710046386719,3.594484639167786,3.999034684966318e-05,276.3854504394531
2000,2,5.131758621246263e-06,2.9355775695876217e-05,276.4137298583984,3.0171342134475707,3.448771574767306e-05,276.0391070556641
2000,3,1.708064499394979e-08,3.807454821071587e-05,282.6880322265625,2.98472327709198,3.8091701644589196e-05,282.75775939941406
2000,4,8.333333467724912e-12,5.3924166422802955e-05,288.579541015625,2.590769200325012,5.392417471739463e-05,288.41974365234375
2000,5,0.0,6.070887146051973e-05,294.2343896484375,2.6506738328933714,6.070887146051973e-05,294.5443444824219
2000,6,0.0,0.0001232455758145079,296.2201910400391,2.3276116847991943,0.0001232455758145079,296.4638958740234
2000,7,0.0,4.226857257890515e-05,299.9233605957031,2.2231016826629637,4.226857257890515e-05,299.7837567138672
2000,8,0.0,8.443595943390392e-05,298.41173461914065,2.2554480504989622,8.443595943390392e-05,297.9909777832031
2000,9,0.0,3.1571783365507146e-05,294.4013989257812,2.733412699699402,3.1571783365507146e-05,294.4281750488281
2000,10,0.0,5.416344371042214e-05,290.34931884765626,2.854768462181091,5.416344371042214e-05,290.2478356933594
2000,11,1.8848333403209683e-07,4.0791124847601166e-05,283.29362548828124,3.1134769535064697,4.097956654732116e-05,283.2685388183594
2000,12,2.5047580541781576e-07,8.736951576793217e-06,280.18153686523436,2.842414207458496,8.987491928564851e-06,279.83149780273436
2001,1,3.969879012402089e-06,3.7434863006637894e-05,278.05287170410156,3.1219091749191286,4.140484656090848e-05,277.7399713134766
2001,2,9.028232102537004e-06,3.029110714123817e-05,279.59649475097655,3.367826371192932,3.931947321689222e-05,279.46681701660157
2001,3,4.4212096753426524e-07,3.253628205129644e-05,284.17169067382815,2.9270827531814576,3.2978483832266645e-05,284.1434783935547
2001,4,9.908333282737658e-09,6.352974167384674e-05,288.25896240234374,2.725403513908386,6.353965844027698e-05,288.41969177246096
2001,5,0.0,3.9359540242003274e-05,293.90934509277344,1.9918855094909669,3.9359540242003274e-05,293.83677490234373
2001,6,0.0,0.0001256570751138497,295.43817321777345,2.1589411687850952,0.0001256570751138497,295.66487854003907
2001,7,0.0,5.109845973493066e-05,300.6865057373047,2.0807878017425536,5.109845973493066e-05,300.69171752929685
2001,8,0.0,9.392591149662622e-05,297.7459924316406,2.3090934801101684,9.392591149662622e-05,297.826494140625
2001,9,0.0,2.0641883338612388e-05,294.63953125,3.2996235847473145,2.0641883338612388e-05,295.0639825439453
